2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-09 21:43:26,570 INFO Started: 20260309_214326
2026-03-09 21:43:26,570 INFO ============================================================
2026-03-09 21:43:26,570 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-09 21:43:26,570 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-09 21:43:26,570 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-09 21:43:26,572 INFO 
Found 542 input files

2026-03-09 21:43:26,572 INFO [1/542] BFI-0000234
2026-03-09 21:59:00,569 INFO   142,498 sequences -> part_table_BFI-0003095.bz2
2026-03-09 21:59:17,542 INFO   172,089 sequences -> part_table_BFI-0003096.bz2
2026-03-09 21:59:35,555 INFO   182,184 sequences -> part_table_BFI-0003097.bz2
2026-03-09 21:59:54,711 INFO   192,614 sequences -> part_table_BFI-0003098.bz2
2026-03-09 22:00:12,606 INFO   180,731 sequences -> part_table_BFI-0003099.bz2
2026-03-09 22:00:29,411 INFO   172,340 sequences -> part_table_BFI-0003100.bz2
2026-03-09 22:00:48,824 INFO   194,403 sequences -> part_table_BFI-0003101.bz2
2026-03-09 22:01:05,166 INFO   166,882 sequences -> part_table_BFI-0003102.bz2
2026-03-09 22:01:24,099 INFO   188,633 sequences -> part_table_BFI-0003103.bz2
2026-03-09 22:01:44,405 INFO   206,536 sequences -> part_table_BFI-0003104.bz2
2026-03-09 22:02:24,486 INFO   401,119 sequences -> part_table_BFI-0003106.bz2
2026-03-09 22:02:41,151 INFO   172,181 sequences -> part_table_BFI-0003107.bz2
2026-03-09 22:03:14,804 INFO   343,985 sequences -> part_table_BFI-0003108.bz2
2026-03-09 22:03:51,423 INFO   362,100 sequences -> part_table_BFI-0003109.bz2
2026-03-09 22:04:30,739 INFO   390,313 sequences -> part_table_BFI-0003110.bz2
2026-03-09 22:04:46,247 INFO   158,331 sequences -> part_table_BFI-0003111.bz2
2026-03-09 22:05:09,872 INFO   233,583 sequences -> part_table_BFI-0003112.bz2
2026-03-09 22:05:26,812 INFO   171,492 sequences -> part_table_BFI-0003113.bz2
2026-03-09 22:05:43,695 INFO   166,706 sequences -> part_table_BFI-0003114.bz2
2026-03-09 22:06:00,255 INFO   166,094 sequences -> part_table_BFI-0003116.bz2
2026-03-09 22:06:41,204 INFO   403,385 sequences -> part_table_BFI-0003117.bz2
2026-03-09 22:07:24,027 INFO   413,834 sequences -> part_table_BFI-0003118.bz2
2026-03-09 22:07:41,893 INFO   181,328 sequences -> part_table_BFI-0003119.bz2
2026-03-09 22:08:00,755 INFO   188,793 sequences -> part_table_BFI-0003120.bz2
2026-03-09 22:08:17,949 INFO   172,368 sequences -> part_table_BFI-0003121.bz2
2026-03-09 22:08:48,273 INFO   303,448 sequences -> part_table_BFI-0003122.bz2
2026-03-09 22:09:04,830 INFO   166,943 sequences -> part_table_BFI-0003123.bz2
2026-03-09 22:09:40,072 INFO   348,346 sequences -> part_table_BFI-0003124.bz2
2026-03-09 22:09:57,090 INFO   170,276 sequences -> part_table_BFI-0003125.bz2
2026-03-09 22:10:15,765 INFO   188,682 sequences -> part_table_BFI-0003126.bz2
2026-03-09 22:10:32,321 INFO   169,036 sequences -> part_table_BFI-0003127.bz2
2026-03-09 22:10:50,387 INFO   182,927 sequences -> part_table_BFI-0003128.bz2
2026-03-09 22:11:25,394 INFO   343,576 sequences -> part_table_BFI-0003129.bz2
2026-03-09 22:12:03,544 INFO   377,256 sequences -> part_table_BFI-0003130.bz2
2026-03-09 22:12:21,269 INFO   177,426 sequences -> part_table_BFI-0003131.bz2
2026-03-09 22:12:38,117 INFO   171,230 sequences -> part_table_BFI-0003132.bz2
2026-03-09 22:13:12,316 INFO   332,689 sequences -> part_table_BFI-0003133.bz2
2026-03-09 22:13:12,316 INFO [100/542] BFI-0003134
2026-03-09 22:13:30,807 INFO   183,801 sequences -> part_table_BFI-0003134.bz2
2026-03-09 22:13:47,581 INFO   170,069 sequences -> part_table_BFI-0003135.bz2
2026-03-09 22:14:27,696 INFO   399,614 sequences -> part_table_BFI-0003136.bz2
2026-03-09 22:14:46,075 INFO   181,117 sequences -> part_table_BFI-0003137.bz2
2026-03-09 22:15:02,633 INFO   169,657 sequences -> part_table_BFI-0003138.bz2
2026-03-09 22:15:19,759 INFO   172,025 sequences -> part_table_BFI-0003139.bz2
2026-03-09 22:15:55,275 INFO   348,515 sequences -> part_table_BFI-0003140.bz2
2026-03-09 22:16:10,173 INFO   149,806 sequences -> part_table_BFI-0003141.bz2
2026-03-09 22:16:47,178 INFO   364,373 sequences -> part_table_BFI-0003142.bz2
2026-03-09 22:16:54,698 INFO   77,188 sequences -> part_table_BFI-0003143.bz2
2026-03-09 22:17:11,714 INFO   174,923 sequences -> part_table_BFI-0003144.bz2
2026-03-09 22:17:24,216 INFO   126,797 sequences -> part_table_BFI-0003145.bz2
2026-03-09 22:18:02,678 INFO   376,076 sequences -> part_table_BFI-0003146.bz2
2026-03-09 22:18:20,660 INFO   183,723 sequences -> part_table_BFI-0003147.bz2
