2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO TCR INTERNAL FORMAT -> AIRR FORMAT CONVERSION
2026-03-12 23:25:17,650 INFO Started: 20260312_232517
2026-03-12 23:25:17,650 INFO ============================================================
2026-03-12 23:25:17,650 INFO Input:   /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/internal_format_clean/TCR
2026-03-12 23:25:17,650 INFO Output:  /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/airr_format_clean/TCR
2026-03-12 23:25:17,650 INFO Reports: /Users/lielcl/Library/CloudStorage/Dropbox/PyCharm/Mal-ID/data_clean/scripts/reports
2026-03-12 23:25:17,652 INFO 
Found 542 input files

2026-03-12 23:25:17,652 INFO [1/542] BFI-0000234
2026-03-12 23:37:59,287 INFO   176,395 sequences -> part_table_BFI-0003090.tsv.gz
2026-03-12 23:38:09,593 INFO   120,308 sequences -> part_table_BFI-0003091.tsv.gz
2026-03-12 23:38:25,874 INFO   180,454 sequences -> part_table_BFI-0003092.tsv.gz
2026-03-12 23:38:42,216 INFO   181,891 sequences -> part_table_BFI-0003093.tsv.gz
2026-03-12 23:38:54,697 INFO   142,498 sequences -> part_table_BFI-0003095.tsv.gz
2026-03-12 23:39:09,984 INFO   172,089 sequences -> part_table_BFI-0003096.tsv.gz
2026-03-12 23:39:26,048 INFO   182,184 sequences -> part_table_BFI-0003097.tsv.gz
2026-03-12 23:39:43,215 INFO   192,614 sequences -> part_table_BFI-0003098.tsv.gz
2026-03-12 23:39:59,116 INFO   180,731 sequences -> part_table_BFI-0003099.tsv.gz
2026-03-12 23:40:14,582 INFO   172,340 sequences -> part_table_BFI-0003100.tsv.gz
2026-03-12 23:40:31,903 INFO   194,403 sequences -> part_table_BFI-0003101.tsv.gz
2026-03-12 23:40:46,897 INFO   166,882 sequences -> part_table_BFI-0003102.tsv.gz
2026-03-12 23:41:03,914 INFO   188,633 sequences -> part_table_BFI-0003103.tsv.gz
2026-03-12 23:41:22,342 INFO   206,536 sequences -> part_table_BFI-0003104.tsv.gz
2026-03-12 23:41:58,536 INFO   401,119 sequences -> part_table_BFI-0003106.tsv.gz
2026-03-12 23:42:13,960 INFO   172,181 sequences -> part_table_BFI-0003107.tsv.gz
2026-03-12 23:42:44,474 INFO   343,985 sequences -> part_table_BFI-0003108.tsv.gz
2026-03-12 23:43:17,303 INFO   362,100 sequences -> part_table_BFI-0003109.tsv.gz
2026-03-12 23:43:52,107 INFO   390,313 sequences -> part_table_BFI-0003110.tsv.gz
2026-03-12 23:44:06,088 INFO   158,331 sequences -> part_table_BFI-0003111.tsv.gz
2026-03-12 23:44:26,523 INFO   233,583 sequences -> part_table_BFI-0003112.tsv.gz
2026-03-12 23:44:42,013 INFO   171,492 sequences -> part_table_BFI-0003113.tsv.gz
2026-03-12 23:44:56,912 INFO   166,706 sequences -> part_table_BFI-0003114.tsv.gz
2026-03-12 23:45:11,810 INFO   166,094 sequences -> part_table_BFI-0003116.tsv.gz
2026-03-12 23:45:47,797 INFO   403,385 sequences -> part_table_BFI-0003117.tsv.gz
2026-03-12 23:46:25,057 INFO   413,834 sequences -> part_table_BFI-0003118.tsv.gz
2026-03-12 23:46:41,255 INFO   181,328 sequences -> part_table_BFI-0003119.tsv.gz
2026-03-12 23:46:57,916 INFO   188,793 sequences -> part_table_BFI-0003120.tsv.gz
2026-03-12 23:47:13,379 INFO   172,368 sequences -> part_table_BFI-0003121.tsv.gz
2026-03-12 23:47:40,770 INFO   303,448 sequences -> part_table_BFI-0003122.tsv.gz
2026-03-12 23:47:55,375 INFO   166,943 sequences -> part_table_BFI-0003123.tsv.gz
2026-03-12 23:48:26,833 INFO   348,346 sequences -> part_table_BFI-0003124.tsv.gz
2026-03-12 23:48:42,142 INFO   170,276 sequences -> part_table_BFI-0003125.tsv.gz
